Sigla,Código,Município,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
PE,2604007,Carpina,16,15,15,13,17,13,22,17,22,17,26,40,26,25,32,32,16,25,29,31,26,34,43,46,33,47,35,29,34
PE,2604106,Caruaru,117,154,144,121,152,127,154,125,138,145,166,186,148,157,145,128,167,127,122,155,125,136,121,193,214,248,170,171,127
PE,2604155,Casinhas,,,,,,1,3,1,2,1,1,8,2,,1,2,7,6,3,4,2,8,5,2,13,17,10,1,13
PE,2604205,Catende,8,4,4,2,9,12,3,13,11,6,6,6,11,6,4,10,12,9,10,9,8,16,18,20,43,28,20,26,26
PE,2604304,Cedro,,,,,1,1,1,,,1,1,1,,3,,2,1,2,2,2,2,2,2,1,,5,1,,1
PE,2604403,Chã de Alegria,3,4,4,5,5,3,5,4,4,8,4,4,2,3,2,5,1,6,2,3,4,2,2,1,3,8,5,6,9
PE,2604502,Chã Grande,3,4,4,2,,3,1,7,3,5,9,4,3,3,4,6,7,5,7,1,2,2,3,4,7,13,10,6,10
PE,2604601,Condado,3,8,5,2,3,2,3,6,7,7,8,9,5,5,6,8,10,12,9,10,14,7,17,10,9,18,10,15,10
PE,2604700,Correntes,1,6,5,3,5,8,3,2,3,4,2,9,6,3,8,8,11,3,11,4,4,4,4,3,9,5,5,6,4
PE,2604809,Cortês,21,13,5,6,11,14,13,9,9,6,5,5,5,4,1,2,11,6,2,4,4,1,2,4,9,6,7,2,12
PE,2604908,Cumaru,3,1,,2,3,2,2,4,,4,1,3,1,1,9,2,7,5,5,1,1,2,1,3,5,1,2,,6
PE,2605004,Cupira,3,2,1,2,3,4,7,7,15,5,14,10,16,15,7,18,12,21,7,18,14,13,13,16,31,40,25,22,15
PE,2605103,Custódia,4,9,4,9,8,4,4,8,10,12,11,3,9,7,6,7,10,5,8,5,8,5,13,6,12,9,12,7,19
PE,2605152,Dormentes,,,1,1,,,1,3,,2,,5,1,2,2,1,,4,2,6,4,2,1,2,3,3,4,2,7
PE,2605202,Escada,32,33,28,26,20,23,34,29,47,46,30,32,31,24,32,53,62,29,23,21,23,27,61,62,49,51,40,35,71
PE,2605301,Exu,2,1,8,1,5,3,8,8,6,5,6,4,9,3,4,9,10,11,8,13,,7,11,2,8,13,3,6,7
PE,2605400,Feira Nova,6,4,7,5,1,4,1,2,,6,16,15,3,3,3,6,6,9,9,11,8,5,9,7,11,12,13,8,12
PE,2605459,Fernando de Noronha,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,
PE,2605509,Ferreiros,3,,,1,,2,,2,1,4,2,1,4,2,1,2,5,3,2,,4,4,3,3,2,3,3,5,4
PE,2605608,Flores,1,2,2,,5,4,5,2,5,,,6,6,5,3,5,5,2,3,6,5,2,2,7,4,5,3,7,8
PE,2605707,Floresta,5,9,8,18,26,28,30,12,17,13,11,18,7,3,10,16,20,17,20,13,13,15,9,25,19,18,16,10,7
PE,2605806,Frei Miguelinho,2,2,1,,,1,1,1,,1,1,2,1,2,3,3,3,1,4,4,1,,,3,6,3,3,3,1
PE,2605905,Gameleira,16,12,4,10,6,6,12,8,8,12,16,11,9,16,11,14,13,8,8,14,4,12,13,6,16,24,29,10,17
PE,2606002,Garanhuns,53,69,73,75,62,42,57,50,72,65,61,50,48,68,51,63,68,41,49,37,37,37,29,49,52,67,40,55,69
PE,2606101,Glória do Goitá,5,9,7,5,2,6,14,2,9,4,7,4,5,2,6,11,11,7,9,12,8,8,10,17,6,14,12,18,13
PE,2606200,Goiana,14,13,15,28,21,20,24,13,49,55,56,43,42,47,59,47,39,42,39,24,31,24,34,37,36,35,32,29,27
PE,2606309,Granito,,,,,,,3,,,,2,1,1,2,1,1,,3,2,1,3,,,2,,1,2,,
PE,2606408,Gravatá,16,17,17,12,15,30,26,44,29,35,29,25,20,21,7,27,17,18,22,27,21,31,36,44,36,76,59,43,44
PE,2606507,Iati,1,2,1,1,,5,2,4,1,3,4,4,6,4,7,6,6,5,5,5,7,3,5,9,5,5,1,8,7
PE,2606606,Ibimirim,2,4,1,10,6,5,9,13,7,7,16,20,11,15,19,16,21,25,14,12,15,12,7,6,14,15,9,14,11
PE,2606705,Ibirajuba,2,1,4,,2,2,,2,2,2,,1,2,1,1,3,2,1,5,2,1,,1,2,1,2,2,2,3
PE,2606804,Igarassu,37,18,22,24,23,35,53,42,38,56,45,42,47,58,50,37,29,51,55,43,43,42,43,60,63,80,83,54,66
PE,2606903,Iguaraci,1,1,,,1,5,3,1,6,1,1,1,2,4,,1,1,3,4,1,2,3,2,1,3,1,4,2,
PE,2607000,Inajá,3,2,6,4,6,2,3,2,3,4,5,11,4,8,5,6,9,2,3,5,3,6,7,7,7,11,8,8,8
PE,2607109,Ingazeira,,1,,1,1,2,,,,1,,1,,,2,,,1,,,1,1,,1,1,,2,1,1
PE,2607208,Ipojuca,31,23,29,19,27,36,46,35,33,36,12,21,47,37,43,56,50,54,39,40,44,42,53,59,70,133,80,42,50
PE,2607307,Ipubi,,2,1,2,2,2,1,2,2,6,,6,1,9,6,4,6,9,4,9,9,13,8,7,14,6,6,4,8
PE,2607406,Itacuruba,2,1,,1,1,3,2,3,,,2,3,,2,2,2,3,1,2,2,,2,1,1,,1,1,,1
PE,2607505,Itaíba,,,1,3,1,3,4,6,2,10,6,9,10,10,8,7,2,7,6,6,6,4,6,8,10,11,9,5,8
PE,2607604,Itamaracá,3,9,5,4,7,10,28,14,6,23,10,11,6,6,7,10,18,16,17,9,12,12,14,11,11,16,12,14,17
PE,2607653,Itambé,6,3,7,5,10,9,5,17,9,12,11,5,12,12,15,22,12,11,16,17,17,8,13,15,23,33,24,19,15
PE,2607703,Itapetim,2,1,,2,5,4,1,3,3,4,4,3,5,1,2,1,4,1,2,4,,1,2,,1,7,2,2,4
PE,2607752,Itapissuma,5,6,5,6,2,11,13,6,5,18,16,20,14,9,28,32,23,29,31,24,17,18,14,9,13,22,10,14,11
PE,2607802,Itaquitinga,3,3,2,2,3,5,3,5,4,1,2,5,2,1,7,4,7,10,10,4,5,4,5,9,10,9,12,10,4
PE,2607901,Jaboatão dos Guararapes,198,192,165,154,164,242,387,467,423,496,442,549,545,574,523,485,464,378,295,289,282,300,306,293,343,376,296,264,275
PE,2607950,Jaqueira,,,,,,1,1,2,3,3,1,2,4,1,2,,4,7,2,5,3,1,1,4,11,7,9,8,3
PE,2608008,Jataúba,,,,,,4,4,4,4,5,6,7,5,3,4,5,10,2,4,2,9,7,8,4,13,13,3,8,4
PE,2608057,Jatobá,,,,,,2,6,5,5,11,2,7,3,5,1,6,6,5,2,4,3,4,6,4,4,,1,4,2
PE,2608107,João Alfredo,6,6,6,4,5,6,4,3,7,7,8,9,10,12,6,16,8,9,18,14,13,9,4,6,13,14,2,3,15
PE,2608206,Joaquim Nabuco,3,2,7,6,,1,1,8,8,13,7,5,16,6,6,8,7,4,7,2,1,3,7,2,6,5,11,4,4
PE,2608255,Jucati,,2,,1,1,,2,1,1,4,3,1,2,3,4,3,1,5,2,3,6,1,2,9,8,5,2,2,3
PE,2608305,Jupi,7,,2,1,1,1,3,1,5,1,4,8,8,10,4,5,7,6,10,6,5,4,5,9,9,9,1,3,3
PE,2608404,Jurema,4,6,2,2,1,,1,4,6,1,4,6,2,2,,3,6,9,4,7,5,12,4,1,3,8,12,6,12
PE,2608453,Lagoa do Carro,,,3,,3,1,4,1,2,1,5,3,2,5,6,3,6,9,3,6,2,6,10,11,6,17,10,9,14
PE,2608503,Lagoa do Itaenga,6,6,2,4,2,5,9,3,2,2,5,3,8,6,8,7,11,7,13,8,15,14,12,19,25,18,16,10,18
PE,2608602,Lagoa do Ouro,3,1,5,3,3,3,1,,3,1,2,,3,6,3,3,3,5,,1,5,5,3,3,3,4,5,4,4
PE,2608701,Lagoa dos Gatos,,5,1,1,5,,1,1,1,1,5,2,4,5,8,3,5,6,3,6,9,4,6,8,7,11,4,5,1
PE,2608750,Lagoa Grande,,,,,,13,12,11,15,10,9,16,5,8,13,12,7,6,5,5,7,9,8,5,8,14,5,5,7
PE,2608800,Lajedo,4,10,4,10,11,16,19,13,10,14,9,19,14,10,21,6,8,6,18,11,28,19,25,29,26,29,35,12,22
PE,2608909,Limoeiro,24,27,36,20,39,42,38,22,38,43,35,46,32,29,32,54,31,36,22,27,11,8,10,22,19,30,19,18,6
PE,2609006,Macaparana,6,3,5,3,6,5,,6,5,2,4,5,4,12,4,3,11,10,9,11,10,7,6,10,11,12,8,4,9
PE,2609105,Machados,,1,2,2,3,1,2,3,2,,5,1,2,4,2,,4,2,,,2,3,5,6,5,9,3,3,3
PE,2609154,Manari,,,,,,2,3,1,3,2,3,2,,3,3,3,5,2,7,2,5,2,2,1,7,4,2,6,8
PE,2609204,Maraial,,4,6,7,4,5,5,3,3,5,4,2,1,2,3,2,3,3,8,2,5,5,6,5,8,8,7,10,5
PE,2609303,Mirandiba,1,4,4,2,5,8,8,1,6,5,6,5,5,5,5,5,3,4,3,4,2,4,2,2,9,6,3,3,8
PE,2609402,Moreno,12,21,17,12,17,10,18,17,22,11,23,16,26,33,27,20,16,22,21,18,25,19,32,33,50,52,31,32,34
PE,2609501,Nazaré da Mata,8,3,8,4,2,5,3,8,6,10,10,21,14,14,20,16,18,9,9,19,11,18,14,20,19,15,20,14,14
PE,2609600,Olinda,129,109,133,123,129,142,249,231,293,295,235,364,332,343,277,299,273,232,216,178,142,143,157,161,186,197,163,151,127
PE,2609709,Orobó,1,,3,2,4,3,2,1,3,1,,2,,,4,,5,5,8,4,2,4,5,5,5,5,6,6,2
PE,2609808,Orocó,6,,4,4,8,11,8,7,5,10,4,6,4,6,3,7,3,4,4,1,2,1,6,1,6,9,6,5,7
PE,2609907,Ouricuri,5,10,16,15,8,13,18,19,11,8,16,17,14,18,24,25,27,35,16,16,18,24,28,20,23,11,18,15,10
PE,2610004,Palmares,33,18,10,21,12,20,41,35,31,28,36,34,31,37,24,41,32,29,22,21,23,26,26,33,41,36,47,30,52
PE,2610103,Palmeirina,2,,,2,2,3,2,2,1,2,1,4,1,2,2,2,1,1,4,3,3,3,3,2,1,1,5,2,1
PE,2610202,Panelas,5,6,4,4,4,5,4,4,2,14,4,2,4,12,9,4,2,4,6,6,8,8,2,5,11,20,12,13,12
PE,2610301,Paranatama,,1,1,2,1,1,2,4,,3,,3,1,4,5,5,4,3,1,2,,4,1,3,4,6,5,1,8
PE,2610400,Parnamirim,6,1,3,3,5,3,7,4,6,4,3,6,3,4,3,3,3,9,6,6,7,7,5,8,4,12,6,5,
PE,2610509,Passira,2,,1,5,4,6,5,3,6,6,4,8,14,4,9,8,6,12,5,7,5,6,5,6,5,7,8,12,14
PE,2610608,Paudalho,11,13,19,14,16,27,22,18,16,35,29,17,23,16,7,19,16,22,12,16,14,24,30,31,49,47,29,30,25
PE,2610707,Paulista,34,57,37,47,58,84,115,88,119,158,125,168,157,136,189,170,161,136,115,123,103,84,135,105,121,184,122,82,76
PE,2610806,Pedra,5,5,3,3,1,3,1,3,4,8,5,3,8,2,2,6,7,11,11,10,10,4,11,5,8,12,5,11,5
PE,2610905,Pesqueira,16,15,11,21,21,15,24,20,10,25,24,23,36,29,20,33,26,29,40,31,20,18,31,29,27,29,26,16,22
PE,2611002,Petrolândia,7,6,8,15,16,6,10,16,21,19,24,16,9,8,17,16,18,7,9,6,4,9,8,8,11,6,10,6,6
PE,2611101,Petrolina,82,98,77,104,138,107,130,134,143,144,179,121,111,131,155,120,126,96,86,88,80,99,93,124,130,128,138,94,117
PE,2611200,Poção,1,2,2,1,5,4,2,5,7,4,,7,2,5,5,3,2,6,3,3,3,,7,6,4,6,4,7,3
PE,2611309,Pombos,7,6,12,8,4,3,10,8,10,6,13,13,11,17,4,8,16,12,13,16,9,7,9,7,7,14,14,14,14
PE,2611408,Primavera,5,3,1,,6,5,5,9,4,9,,7,1,3,8,5,6,4,6,4,5,5,1,5,6,14,14,10,10
PE,2611507,Quipapá,2,6,4,5,4,2,4,8,11,7,14,10,11,5,12,14,11,13,22,9,11,15,7,10,9,4,6,5,11
PE,2611533,Quixaba,,,,4,,1,,1,3,,,3,,,,1,1,2,,1,1,,,1,,1,,1,
PE,2611606,Recife,842,937,848,955,1061,1430,1559,1368,1383,1392,1312,970,964,1002,1049,1035,973,847,669,672,639,490,481,582,667,830,666,523,620
PE,2611705,Riacho das Almas,,5,1,,3,1,1,8,6,2,1,5,1,4,6,6,8,7,1,4,3,2,4,10,5,6,6,9,6
PE,2611804,Ribeirão,29,30,1,9,22,28,26,48,31,34,43,34,21,25,22,42,22,17,20,14,12,12,19,21,23,34,28,20,24
PE,2611903,Rio Formoso,12,16,9,8,6,1,5,3,4,5,13,21,15,16,21,25,14,6,6,13,14,11,18,14,14,18,14,15,13
PE,2612000,Sairé,2,3,1,4,2,1,5,5,,7,2,1,3,3,9,4,3,,5,2,3,2,4,1,6,3,2,6,6
PE,2612109,Salgadinho,,1,1,,,2,1,1,1,,,1,,,2,2,,2,,,2,,2,,1,1,,,1
PE,2612208,Salgueiro,11,13,25,14,12,29,31,17,18,10,12,7,14,4,8,21,9,9,6,7,5,11,5,21,20,20,15,8,23
PE,2612307,Saloá,3,1,4,1,2,5,2,3,4,6,7,7,5,6,2,6,9,7,5,2,4,6,6,5,5,4,8,3,1
PE,2612406,Sanharó,1,5,2,1,3,2,6,4,7,6,3,11,2,3,5,3,5,5,5,4,2,4,7,6,11,12,6,12,10
PE,2612455,Santa Cruz,,3,,1,1,2,,2,3,1,,4,1,1,2,3,5,10,7,3,2,2,3,8,3,4,1,1,5
PE,2612471,Santa Cruz da Baixa Verde,,1,9,3,6,6,4,,3,7,3,1,4,6,3,4,2,4,6,4,,2,3,5,4,6,4,5,3
PE,2612505,Santa Cruz do Capibaribe,3,9,6,,14,11,16,22,34,42,57,35,26,22,25,11,31,34,42,31,39,41,40,55,56,73,46,32,36
PE,2612554,Santa Filomena,,,,,,1,1,2,1,,2,5,1,3,,2,2,3,5,5,1,2,3,2,3,4,1,1,
PE,2612604,Santa Maria da Boa Vista,4,5,5,23,21,19,15,21,18,15,23,25,19,27,28,26,10,13,6,19,6,11,18,13,19,29,20,12,12
PE,2612703,Santa Maria do Cambucá,5,,3,,2,1,2,5,3,5,5,1,3,2,7,2,3,6,10,3,7,9,6,4,12,15,3,7,6
PE,2612802,Santa Terezinha,,,,1,1,1,,1,,,2,,1,,,4,,2,2,2,2,1,5,3,4,6,2,1,2
PE,2612901,São Benedito do Sul,1,4,1,1,,1,1,,,2,3,1,1,1,7,3,2,4,2,2,3,4,4,2,2,9,4,,4
PE,2613008,São Bento do Una,14,11,13,5,12,11,14,11,17,10,14,29,16,18,18,13,14,24,9,19,15,21,19,25,28,28,23,18,15
PE,2613107,São Caitano,6,5,5,2,5,3,8,24,11,6,13,16,8,22,11,8,25,9,5,9,7,12,16,23,32,31,24,16,21
PE,2613206,São João,7,6,5,6,1,3,7,6,3,6,9,3,2,2,4,4,12,3,8,6,7,7,13,11,10,14,3,5,5
PE,2613305,São Joaquim do Monte,1,1,2,6,8,5,9,9,3,7,15,8,6,5,5,7,7,17,7,3,11,6,6,6,9,25,12,15,15
PE,2613404,São José da Coroa Grande,1,2,2,1,2,3,5,5,8,9,3,2,7,7,8,4,10,9,11,10,11,14,10,15,15,29,19,22,10
PE,2613503,São José do Belmonte,1,3,6,3,10,10,10,7,8,15,8,6,7,11,9,7,12,12,9,12,7,8,7,6,6,10,6,10,8
PE,2613602,São José do Egito,1,,2,4,5,8,5,6,2,3,6,6,6,5,3,5,6,10,7,6,8,7,8,5,7,8,5,5,11
PE,2613701,São Lourenço da Mata,24,27,34,33,39,57,102,105,75,80,58,50,37,36,50,67,35,31,32,27,35,34,29,53,53,73,71,53,40
PE,2613800,São Vicente Ferrer,4,5,4,5,2,3,2,3,4,5,5,4,8,5,2,4,7,7,2,5,5,9,9,5,12,16,11,15,18
PE,2613909,Serra Talhada,48,47,50,43,51,66,60,40,28,37,36,23,20,31,29,24,26,26,31,23,28,13,34,25,35,37,40,29,28
PE,2614006,Serrita,2,2,,3,1,,,1,2,3,5,1,3,9,2,3,1,2,1,4,3,3,2,5,5,2,,,
PE,2614105,Sertânia,7,10,6,8,9,5,9,9,11,6,9,8,8,6,12,11,4,6,14,9,11,7,3,3,9,9,14,10,16
PE,2614204,Sirinhaém,8,11,6,14,14,6,15,20,21,19,22,17,24,12,20,21,18,12,11,19,10,22,27,25,24,39,24,27,26
PE,2614303,Moreilândia,,1,3,,2,,2,3,,3,3,6,2,1,2,4,,4,4,2,2,3,,,4,1,2,,
PE,2614402,Solidão,,1,,,3,,,1,1,,,1,,,,,1,1,,1,,,2,2,2,2,1,2,1
PE,2614501,Surubim,9,11,7,8,23,11,13,14,11,6,11,19,17,9,19,24,28,12,14,21,12,12,13,17,17,27,19,20,17
PE,2614600,Tabira,2,1,8,5,5,6,3,,3,6,1,1,2,2,5,8,,4,11,7,6,7,5,3,6,6,5,11,10
PE,2614709,Tacaimbó,2,,1,,2,2,,3,1,5,3,6,7,5,5,4,4,3,1,2,5,5,4,9,3,9,6,2,5
PE,2614808,Tacaratu,3,3,4,6,2,4,4,2,4,3,4,7,2,1,2,,3,2,3,2,3,2,2,3,,6,5,4,6
PE,2614857,Tamandaré,,,,,,2,1,14,10,8,14,8,6,17,9,13,14,13,7,5,10,2,11,12,17,15,14,10,10
PE,2615003,Taquaritinga do Norte,6,5,2,5,4,4,7,11,10,8,6,5,1,4,5,3,6,4,7,9,10,7,4,9,7,19,16,5,9
PE,2615102,Terezinha,2,2,,,3,2,1,1,1,,,2,,1,,5,2,1,2,2,11,2,2,1,5,2,1,,
PE,2615201,Terra Nova,4,2,,2,,1,,,,,3,,2,2,,2,2,2,,2,4,1,1,2,1,4,1,2,2
PE,2615300,Timbaúba,16,15,14,18,18,13,20,21,16,11,14,17,31,27,23,27,18,19,18,18,17,28,18,18,33,49,50,24,35
PE,2615409,Toritama,1,1,4,2,8,11,12,8,7,7,10,8,9,10,11,13,15,27,24,13,25,26,11,28,28,41,28,23,18
PE,2615508,Tracunhaém,2,3,2,3,1,,1,1,5,3,12,3,,3,1,5,5,7,1,5,2,5,2,4,8,11,7,5,7
PE,2615607,Trindade,1,3,2,6,5,5,6,2,7,12,17,19,18,10,22,23,20,15,12,14,9,26,18,33,18,25,12,5,8
PE,2615706,Triunfo,9,4,2,2,6,10,10,7,3,5,5,2,8,4,8,2,7,3,,2,1,1,2,4,8,,3,,3
PE,2615805,Tupanatinga,3,5,7,4,5,5,7,8,2,4,7,2,5,7,10,11,10,5,6,8,10,6,2,7,13,14,9,3,1
PE,2615904,Tuparetama,1,,1,2,1,,,,2,3,,3,4,4,2,2,2,4,3,1,5,2,2,,2,1,1,1,2
PE,2616001,Venturosa,2,3,1,4,3,,1,2,,3,1,10,3,6,3,7,3,10,4,7,9,5,3,3,11,9,7,6,7
PE,2616100,Verdejante,2,4,2,,,,1,3,1,,2,1,,2,2,,2,2,1,1,4,,1,4,4,3,4,3,4
PE,2616183,Vertente do Lério,,,,,2,,,,4,,1,2,4,1,3,3,4,4,2,1,,2,,,5,6,8,1,
PE,2616209,Vertentes,1,1,2,4,3,2,3,4,5,5,,2,4,1,1,4,5,5,8,1,7,8,7,16,15,19,15,13,4
PE,2616308,Vicência,7,4,2,5,4,8,2,5,5,12,14,17,11,10,15,11,12,8,9,14,9,6,12,21,21,30,18,17,15
PE,2616407,Vitória de Santo Antão,34,57,51,56,43,34,63,77,55,70,68,75,74,57,82,78,89,68,64,71,64,67,45,49,78,113,72,80,90
PE,2616506,Xexéu,,1,1,,1,4,4,4,5,10,2,6,7,9,7,9,3,14,8,7,10,9,7,7,7,12,13,5,7
PE,2699919,Muribeca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE,2699929,Nossa Senhora do Ó de Goyanna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE,2699939,Cimbres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI,2200053,Acauã,,,,,,,,,,,,1,,,1,,,2,,,1,,1,2,,,,1,
PI,2200103,Agricolândia,,2,,,,1,,,,,,,,1,,1,,,,,,,,,1,1,1,,1
PI,2200202,Água Branca,2,1,,2,,,1,,,1,,,1,1,,3,1,2,2,2,2,3,5,5,5,7,6,2,2
PI,2200251,Alagoinha do Piauí,,1,1,,,1,,,1,1,,1,1,,,1,,,2,,1,1,3,,,2,1,3,1
PI,2200277,Alegrete do Piauí,,,,1,1,,,,,,,,,,2,1,1,2,,,3,,1,7,1,1,2,3,1
PI,2200301,Alto Longá,,,,,,,1,,,1,1,2,4,1,,,,,1,1,1,,,2,,2,,,4
PI,2200400,Altos,1,1,1,3,2,,2,3,,1,1,4,4,3,8,6,8,3,4,7,7,7,8,10,6,12,3,6,9
PI,2200459,Alvorada do Gurguéia,,,,,,,,,,,,1,2,,,,,,1,1,,,,,3,1,,1,1
PI,2200509,Amarante,,4,,,1,,,,,,1,,,2,1,,1,2,3,,1,1,1,4,,1,1,3,1
PI,2200608,Angical do Piauí,,1,,,,,,,,,,,,1,,1,,1,,,,,1,,2,,,1,
PI,2200707,Anísio de Abreu,,,,,,,,,,,,,,,1,,2,,,,1,,1,,1,1,,,
PI,2200806,Antônio Almeida,,,,,,,,,,,,1,,1,,,,1,,,,,,,,,,,
PI,2200905,Aroazes,,,,,,,,,,,,1,1,,1,1,,,,1,,,,,,,1,,
PI,2200954,Aroeiras de Itaim,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,2,
PI,2201002,Arraial,,,,,,,,,,,,,,1,,,,,,,1,,,1,,,1,,
PI,2201051,Assunção do Piauí,,,,,,,,,,,,,2,,1,,1,,1,,1,,1,,,,2,,
PI,2201101,Avelino Lopes,,,,,,,,1,1,1,,2,1,3,,2,1,2,1,2,1,,,1,2,,2,2,5
PI,2201150,Baixa Grande do Ribeiro,,,,,,,,,,1,,,1,,,,,1,,1,1,1,,,5,2,1,2,1
PI,2201176,Barra D'Alcântara,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,
PI,2201200,Barras,,,,,,,1,,,2,2,,1,6,3,2,1,1,3,4,3,4,7,6,5,3,9,4,4
PI,2201309,Barreiras do Piauí,,1,,,,,,,,,,,,,,,,,,,1,,,,,1,,,
PI,2201408,Barro Duro,,,,,,1,,,,1,,1,,1,,,,,1,,2,,,,,,1,,
PI,2201507,Batalha,,2,,,,,1,,1,2,,1,1,1,2,,1,1,3,,,,4,1,5,3,3,6,2
PI,2201556,Bela Vista do Piauí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI,2201572,Belém do Piauí,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,
PI,2201606,Beneditinos,1,,,,,,,,,,,1,1,1,,,,,,,,,1,,,1,2,1,
PI,2201705,Bertolínia,,,,,,,,,,1,,,,,,,,,,,2,,,,1,1,,1,1
PI,2201739,Betânia do Piauí,,,,,,,,,,,,1,,2,1,2,,,2,,2,,,2,2,,,1,
PI,2201770,Boa Hora,,,,,,,,,,,1,,,,,,,,,1,,,,1,1,1,1,,
PI,2201804,Bocaina,,,,,,,,,,1,,1,,,1,,1,1,,,2,3,3,1,2,,,,
PI,2201903,Bom Jesus,1,1,2,1,1,,,,1,1,2,1,4,1,3,,1,1,3,3,,2,3,1,3,1,1,1,4
PI,2201919,Bom Princípio do Piauí,,,,,,,,,,,,,,,1,1,2,1,,1,,1,2,,,,1,2,
PI,2201929,Bonfim do Piauí,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,2,
PI,2201945,Boqueirão do Piauí,,,,,,,,,1,,,,,,,1,,,,,,,,,1,1,,1,
PI,2201960,Brasileira,,,,,,,,,,1,2,1,1,,,,1,1,,,1,,,,,1,1,,
PI,2201988,Brejo do Piauí,,,,,,,,,,,,,,,,1,,,,,,,1,,,,2,,3
PI,2202000,Buriti dos Lopes,,3,,,1,,,,,1,1,,2,1,2,2,1,1,3,2,2,3,2,2,3,4,,1,1
PI,2202026,Buriti dos Montes,,,,,,,,1,,,,,1,2,1,1,1,,,1,,,,,1,1,1,,
PI,2202059,Cabeceiras do Piauí,,,,,,,,,,2,,,1,,,,1,,1,1,,,,1,1,,1,1,1
PI,2202075,Cajazeiras do Piauí,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
PI,2202083,Cajueiro da Praia,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,1
PI,2202091,Caldeirão Grande do Piauí,,,,,,,,1,,1,4,,1,1,,2,2,2,,,,1,1,,2,4,,2,2
PI,2202109,Campinas do Piauí,,,,,,,,,,2,,,1,,,,,,,,,1,,1,,1,,,
PI,2202117,Campo Alegre do Fidalgo,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,
PI,2202133,Campo Grande do Piauí,,,,,,,,,,,,1,1,,,1,,2,,,,,,,,3,,2,1
PI,2202174,Campo Largo do Piauí,,,,,,,,,,,,,,,1,,1,1,,1,,,,,,2,,,
PI,2202208,Campo Maior,1,1,3,4,,1,2,1,1,5,7,2,2,7,4,3,11,7,7,3,6,5,10,5,9,6,9,8,14
PI,2202251,Canavieira,,,,,,,,,,1,,,3,1,,,,1,1,,,,,1,,,1,,
PI,2202307,Canto do Buriti,2,,,1,,,,1,,1,,2,,2,2,2,,1,1,1,1,3,2,6,2,,5,3,6
PI,2202406,Capitão de Campos,,,,,,,,,,,1,1,,,1,,,,1,,,1,2,1,2,,,1,1
PI,2202455,Capitão Gervásio Oliveira,,,,,,,,,,2,,1,,,,1,,,,,,,,1,,,,1,1
PI,2202505,Caracol,,,,,,1,,,1,,,3,,,1,,4,,1,,,1,3,,1,2,,3,5
PI,2202539,Caraúbas do Piauí,,,,,,,,,,,,,1,1,,,,,1,1,,,1,,3,,2,1,
PI,2202554,Caridade do Piauí,,,,,,,,,2,,,,,1,2,2,,1,1,,1,,,,,,,,
PI,2202604,Castelo do Piauí,,1,,,,,,,1,,,1,5,2,2,2,2,1,1,7,1,3,2,5,2,3,,2,2
PI,2202653,Caxingó,,,,,,,,,1,,,,,,,1,1,,,,,2,,,,,,,1
PI,2202703,Cocal,,,,,,,,,1,1,,2,2,3,2,3,1,1,2,2,3,3,3,7,2,3,4,8,1
PI,2202711,Cocal de Telha,,,,,,,1,,,,,1,,,,,,,,,,,,,,1,,,
PI,2202729,Cocal dos Alves,,,,,,,,,,,,1,,,,,1,,1,,,,,,,1,,,
PI,2202737,Coivaras,,,,,,,,,,,,,1,1,,,,,,1,,,,,,,1,,
PI,2202752,Colônia do Gurguéia,,,,1,,,,1,,,,,,,1,,2,1,,,1,1,,,,1,,2,2
PI,2202778,Colônia do Piauí,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,1,2,
PI,2202802,Conceição do Canindé,,,,,,,,,,1,,,,,,,,2,,,2,1,,,,,,1,1
PI,2202851,Coronel José Dias,,,,,,,,,,,,,,,,1,,,2,1,1,1,,1,,,,1,
PI,2202901,Corrente,1,,2,1,,,1,1,,1,1,1,3,4,4,5,1,6,2,6,7,2,7,3,5,5,6,5,6
PI,2203008,Cristalândia do Piauí,,,,,,,,,,1,,,1,1,,,2,1,1,2,1,1,1,2,,,,,1
PI,2203107,Cristino Castro,,1,,,,,,,,1,,,4,2,1,1,1,1,1,2,3,3,2,2,,1,1,3,2
PI,2203206,Curimatá,1,2,,1,,,,1,,1,,,,1,2,,5,1,,,2,1,1,4,1,3,,2,2
PI,2203230,Currais,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,1,
PI,2203255,Curralinhos,,,,,,,,,,,,,,,1,,,1,,1,1,1,,,1,2,1,1,2
